,Energy [eV]
1511,755.63022
1512,756.13024
1513,756.63026
1514,757.13028
1515,757.6303
1516,758.13032
1517,758.63034
1518,759.13036
1519,759.63038
1520,760.1304
1521,760.63042
1522,761.13044
1523,761.63046
1524,762.13048
1525,762.6305
1526,763.13052
1527,763.63054
1528,764.13056
1529,764.63058
1530,765.1306
1531,765.63062
1532,766.13064
1533,766.63066
1534,767.13068
1535,767.6307
1536,768.13072
1537,768.63074
1538,769.13076
1539,769.63078
1540,770.1308
1541,770.63082
1542,771.13084
1543,771.63086
1544,772.13088
1545,772.6309
1546,773.13092
1547,773.63094
1548,774.13096
1549,774.63098
1550,775.131
1551,775.63102
1552,776.13104
1553,776.63106
1554,777.13108
1555,777.6311
1556,778.13112
1557,778.63114
1558,779.13116
1559,779.63118
1560,780.1312
1561,780.63122
1562,781.13124
1563,781.63126
1564,782.13128
1565,782.6313
1566,783.13132
1567,783.63134
1568,784.13136
1569,784.63138
1570,785.1314
1571,785.63142
1572,786.13144
1573,786.63146
1574,787.13148
1575,787.6315
1576,788.13152
1577,788.63154
1578,789.13156
1579,789.63158
1580,790.1316
1581,790.63162
1582,791.13164
1583,791.63166
1584,792.13168
1585,792.6317
1586,793.13172
1587,793.63174
1588,794.13176
1589,794.63178
1590,795.1318
1591,795.63182
1592,796.13184
1593,796.63186
1594,797.13188
1595,797.6319
1596,798.13192
1597,798.63194
1598,799.13196
1599,799.63198
1600,800.132
1601,800.63202
1602,801.13204
1603,801.63206
1604,802.13208
1605,802.6321
1606,803.13212
1607,803.63214
1608,804.13216
1609,804.63218
1610,805.1322
1611,805.63222
1612,806.13224
1613,806.63226
1614,807.13228
1615,807.6323
1616,808.13232
1617,808.63234
1618,809.13236
1619,809.63238
1620,810.1324
1621,810.63242
1622,811.13244
1623,811.63246
1624,812.13248
1625,812.6325
1626,813.13252
1627,813.63254
1628,814.13256
1629,814.63258
1630,815.1326
1631,815.63262
1632,816.13264
1633,816.63266
1634,817.13268
1635,817.6327
1636,818.13272
1637,818.63274
1638,819.13276
1639,819.63278
1640,820.1328
1641,820.63282
1642,821.13284
1643,821.63286
1644,822.13288
1645,822.6329
1646,823.13292
1647,823.63294
1648,824.13296
1649,824.63298
1650,825.133
1651,825.63302
1652,826.13304
1653,826.63306
1654,827.13308
1655,827.6331
1656,828.13312
1657,828.63314
1658,829.13316
1659,829.63318
1660,830.1332
1661,830.63322
1662,831.13324
1663,831.63326
1664,832.13328
1665,832.6333
1666,833.13332
1667,833.63334
1668,834.13336
1669,834.63338
1670,835.1334
1671,835.63342
1672,836.13344
1673,836.63346
1674,837.13348
1675,837.6335
1676,838.13352
1677,838.63354
1678,839.13356
1679,839.63358
1680,840.1336
1681,840.63362
1682,841.13364
1683,841.63366
1684,842.13368
1685,842.6337
1686,843.13372
1687,843.63374
1688,844.13376
1689,844.63378
1690,845.1338
1691,845.63382
1692,846.13384
1693,846.63386
1694,847.13388
1695,847.6339
1696,848.13392
1697,848.63394
1698,849.13396
1699,849.63398
1700,850.134
1701,850.63402
1702,851.13404
1703,851.63406
1704,852.13408
1705,852.6341
1706,853.13412
1707,853.63414
1708,854.13416
1709,854.63418
1710,855.1342
1711,855.63422
1712,856.13424
1713,856.63426
1714,857.13428
1715,857.6343
1716,858.13432
1717,858.63434
1718,859.13436
1719,859.63438
1720,860.1344
1721,860.63442
1722,861.13444
1723,861.63446
1724,862.13448
1725,862.6345
1726,863.13452
1727,863.63454
1728,864.13456
1729,864.63458
1730,865.1346
1731,865.63462
1732,866.13464
1733,866.63466
1734,867.13468
1735,867.6347
1736,868.13472
1737,868.63474
1738,869.13476
1739,869.63478
1740,870.1348
1741,870.63482
1742,871.13484
1743,871.63486
1744,872.13488
1745,872.6349
1746,873.13492
1747,873.63494
1748,874.13496
1749,874.63498
1750,875.135
1751,875.63502
1752,876.13504
1753,876.63506
1754,877.13508
1755,877.6351
1756,878.13512
1757,878.63514
1758,879.13516
1759,879.63518
1760,880.1352
1761,880.63522
1762,881.13524
1763,881.63526
1764,882.13528
1765,882.6353
1766,883.13532
1767,883.63534
1768,884.13536
1769,884.63538
1770,885.1354
1771,885.63542
1772,886.13544
1773,886.63546
1774,887.13548
1775,887.6355
1776,888.13552
1777,888.63554
1778,889.13556
1779,889.63558
1780,890.1356
1781,890.63562
1782,891.13564
1783,891.63566
1784,892.13568
1785,892.6357
1786,893.13572
1787,893.63574
1788,894.13576
1789,894.63578
1790,895.1358
1791,895.63582
1792,896.13584
1793,896.63586
1794,897.13588
1795,897.6359
1796,898.13592
1797,898.63594
1798,899.13596
1799,899.63598
1800,900.136
1801,900.63602
1802,901.13604
1803,901.63606
1804,902.13608
1805,902.6361
1806,903.13612
1807,903.63614
1808,904.13616
1809,904.63618
1810,905.1362
1811,905.63622
1812,906.13624
1813,906.63626
1814,907.13628
1815,907.6363
1816,908.13632
1817,908.63634
1818,909.13636
1819,909.63638
1820,910.1364
1821,910.63642
1822,911.13644
1823,911.63646
1824,912.13648
1825,912.6365
1826,913.13652
1827,913.63654
1828,914.13656
1829,914.63658
1830,915.1366
1831,915.63662
1832,916.13664
1833,916.63666
1834,917.13668
1835,917.6367
1836,918.13672
1837,918.63674
1838,919.13676
1839,919.63678
1840,920.1368
1841,920.63682
1842,921.13684
1843,921.63686
1844,922.13688
1845,922.6369
1846,923.13692
1847,923.63694
1848,924.13696
1849,924.63698
1850,925.137
1851,925.63702
1852,926.13704
1853,926.63706
1854,927.13708
1855,927.6371
1856,928.13712
1857,928.63714
1858,929.13716
1859,929.63718
1860,930.1372
1861,930.63722
1862,931.13724
1863,931.63726
1864,932.13728
1865,932.6373
1866,933.13732
1867,933.63734
1868,934.13736
1869,934.63738
1870,935.1374
1871,935.63742
1872,936.13744
1873,936.63746
