,time [fs]
1735,9.508662717421046e-14
1736,9.531290173985838e-14
1737,9.554194147749035e-14
1738,9.576898898150894e-14
1739,9.599580467316238e-14
1740,9.622632858129193e-14
1741,9.6459416129494e-14
1742,9.669166238215804e-14
1743,9.692272573930051e-14
1744,9.715570163647322e-14
1745,9.739304760757796e-14
1746,9.763260019143768e-14
1747,9.787214736759938e-14
1748,9.811307855535019e-14
1749,9.835649139860975e-14
1750,9.860230509280364e-14
1751,9.884911900960245e-14
1752,9.909663820999894e-14
1753,9.934677395263621e-14
1754,9.959857307548443e-14
1755,9.985131694571949e-14
1756,1.0010643545271524e-13
1757,1.0036169214420627e-13
1758,1.0061485319428674e-13
1759,1.0086768705917624e-13
1760,1.0112182194547928e-13
1761,1.0137797395141252e-13
1762,1.0163714889786849e-13
1763,1.0189964335444848e-13
1764,1.0216516875003893e-13
1765,1.0243238523934588e-13
1766,1.0269949168659652e-13
1767,1.0296622978203003e-13
1768,1.032362025963488e-13
1769,1.0351122663587604e-13
1770,1.0378760013536952e-13
1771,1.040639910333945e-13
1772,1.0434305833179495e-13
1773,1.0462344145886209e-13
1774,1.0490205022593751e-13
1775,1.0518238888628496e-13
1776,1.0546691480275323e-13
1777,1.0575195909986684e-13
1778,1.0603675754725948e-13
1779,1.063242640584516e-13
1780,1.0661487526063719e-13
1781,1.0690737599388791e-13
1782,1.072002234629417e-13
1783,1.074925684959815e-13
1784,1.0778684870453634e-13
1785,1.0808523196509665e-13
1786,1.0838484604026837e-13
1787,1.0868346202823649e-13
1788,1.0898442206888776e-13
1789,1.0929087636640884e-13
1790,1.0960083888984189e-13
1791,1.0991046263953937e-13
1792,1.1022084654087847e-13
1793,1.105332351762798e-13
1794,1.1084567757166318e-13
1795,1.1115826451478665e-13
1796,1.1147413991331686e-13
1797,1.1179469578103404e-13
1798,1.1211589737830676e-13
1799,1.1243436455934743e-13
1800,1.1275404981709678e-13
1801,1.1307825874363843e-13
1802,1.1340398404666403e-13
1803,1.1373050997856758e-13
1804,1.140595733330529e-13
1805,1.143898687741228e-13
1806,1.1472133671826485e-13
1807,1.1505652845030332e-13
1808,1.1539607518144508e-13
1809,1.1573889735337774e-13
1810,1.1608233378139846e-13
1811,1.1642541560812142e-13
1812,1.1677019898949658e-13
1813,1.1711548003662639e-13
1814,1.1745979211067153e-13
1815,1.1780665681833893e-13
1816,1.1815693328246101e-13
1817,1.1850802597621627e-13
1818,1.1886036438423364e-13
1819,1.1921456929417889e-13
1820,1.195710787518821e-13
1821,1.1992995360070445e-13
1822,1.2029065878700654e-13
1823,1.2065366278873585e-13
1824,1.2101760772780171e-13
1825,1.2138086543565238e-13
1826,1.2174534427379107e-13
1827,1.2211312446394873e-13
1828,1.2248181624078294e-13
1829,1.2285103623572604e-13
1830,1.2322381066730535e-13
1831,1.2359925240794954e-13
1832,1.2397483505625368e-13
1833,1.2435040116234436e-13
1834,1.2472834470789572e-13
1835,1.2511065175561613e-13
1836,1.2549496039018597e-13
1837,1.2587820194925256e-13
1838,1.2626362866038332e-13
1839,1.2665417879946253e-13
1840,1.2704612940505204e-13
1841,1.274366317244803e-13
1842,1.278278535039183e-13
1843,1.2822177722418418e-13
1844,1.2861758732800299e-13
1845,1.2901434587896035e-13
1846,1.294133749331931e-13
1847,1.2981573622408129e-13
1848,1.3021921421366708e-13
1849,1.306215756558684e-13
1850,1.3102465744082852e-13
1851,1.314306906035778e-13
1852,1.318400948060483e-13
1853,1.3225140843430515e-13
1854,1.326624217811933e-13
1855,1.3307533267952997e-13
1856,1.3349187238960306e-13
1857,1.3390979865229346e-13
1858,1.343292136852693e-13
1859,1.3475091207112367e-13
1860,1.3517302168221983e-13
1861,1.3559527467773961e-13
1862,1.360191318122814e-13
1863,1.364446969089414e-13
1864,1.368711615549489e-13
1865,1.372989680925417e-13
1866,1.3772970223268102e-13
1867,1.3816432519671744e-13
1868,1.38598875559605e-13
