,time [fs]
1546,6.141294080354047e-14
1547,6.150560978797642e-14
1548,6.159849107740827e-14
1549,6.16915861024887e-14
1550,6.178489621413159e-14
1551,6.187842275910169e-14
1552,6.197216710634959e-14
1553,6.206613067464206e-14
1554,6.216031490834865e-14
1555,6.225472128339932e-14
1556,6.234935120904419e-14
1557,6.244420606303366e-14
1558,6.253928733453286e-14
1559,6.263459649776752e-14
1560,6.273013496994298e-14
1561,6.282590425898286e-14
1562,6.292190592576157e-14
1563,6.301814144301845e-14
1564,6.311461227030451e-14
1565,6.321131993821297e-14
1566,6.330826605392085e-14
1567,6.340545215092004e-14
1568,6.350287968330483e-14
1569,6.360055025493318e-14
1570,6.3698465455167e-14
1571,6.379662680568108e-14
1572,6.389503591518594e-14
1573,6.399369439583493e-14
1574,6.409260387527134e-14
1575,6.41917659976493e-14
1576,6.429118237505132e-14
1577,6.43908546012587e-14
1578,6.449078433471762e-14
1579,6.459097328813788e-14
1580,6.469142321951173e-14
1581,6.479213578353079e-14
1582,6.489311254600822e-14
1583,6.499435528313086e-14
1584,6.509586576354452e-14
1585,6.519764570777327e-14
1586,6.529969691810229e-14
1587,6.540202109294879e-14
1588,6.550461990204958e-14
1589,6.560749522094096e-14
1590,6.571064918343187e-14
1591,6.581408381239007e-14
1592,6.591780001651459e-14
1593,6.602179812301321e-14
1594,6.612607912447032e-14
1595,6.623064511601418e-14
1596,6.633549830298055e-14
1597,6.64406405887316e-14
1598,6.654607374889891e-14
1599,6.665179964238492e-14
1600,6.675782023728801e-14
1601,6.686413746204037e-14
1602,6.69707532071318e-14
1603,6.70776693990163e-14
1604,6.718488811342598e-14
1605,6.729241125354713e-14
1606,6.740024048096405e-14
1607,6.750837842239684e-14
1608,6.761682856656464e-14
1609,6.772559367229017e-14
1610,6.783467589437616e-14
1611,6.794407738950156e-14
1612,6.80538001306364e-14
1613,6.816384582800896e-14
1614,6.827421775476506e-14
1615,6.838492072728404e-14
1616,6.849595799671086e-14
1617,6.860733147708571e-14
1618,6.871904335318794e-14
1619,6.883109588874816e-14
1620,6.894349128654292e-14
1621,6.905623185723811e-14
1622,6.916931989479507e-14
1623,6.928275765076313e-14
1624,6.93965473897293e-14
1625,6.951069144944792e-14
1626,6.962519226008736e-14
1627,6.974005220853484e-14
1628,6.985527345711796e-14
1629,6.997085814186852e-14
1630,7.008680935228532e-14
1631,7.020313082768715e-14
1632,7.031982599826095e-14
1633,7.043689841110987e-14
1634,7.055435391007367e-14
1635,7.067219845994771e-14
1636,7.079043505247669e-14
1637,7.090906681635027e-14
1638,7.102809870341678e-14
1639,7.114753402562761e-14
1640,7.126737460805705e-14
1641,7.138762367118638e-14
1642,7.150828674493686e-14
1643,7.162936857989263e-14
1644,7.175087217298113e-14
1645,7.187280021444037e-14
1646,7.199515581415834e-14
1647,7.211794285035109e-14
1648,7.22411684940825e-14
1649,7.236484170693091e-14
1650,7.24889680187353e-14
1651,7.261355210886034e-14
1652,7.273859961776516e-14
1653,7.286411442807087e-14
1654,7.299009998031534e-14
1655,7.311656180318489e-14
1656,7.3243508206168e-14
1657,7.337094747878076e-14
1658,7.349888520105714e-14
1659,7.362732627471504e-14
1660,7.375627616708375e-14
1661,7.38857427256462e-14
1662,7.401573282629828e-14
1663,7.414624944493189e-14
1664,7.427729611906396e-14
1665,7.440887841550694e-14
1666,7.454100505579316e-14
1667,7.467368666050583e-14
1668,7.480692990521806e-14
1669,7.494073930811626e-14
1670,7.507512396778802e-14
1671,7.521009412654203e-14
1672,7.53456551109385e-14
1673,7.548181019471427e-14
1674,7.56185644414848e-14
1675,7.57559238581246e-14
1676,7.589389520240062e-14
1677,7.603248632324137e-14
1678,7.617170706505872e-14
1679,7.631156863810991e-14
1680,7.645207962322301e-14
1681,7.659324878072885e-14
1682,7.673508833098078e-14
1683,7.68776070712014e-14
1684,7.702081077111068e-14
1685,7.716470762856496e-14
1686,7.730930784471843e-14
1687,7.745462020167244e-14
1688,7.760065238030924e-14
1689,7.774741270169764e-14
1690,7.789491239820748e-14
1691,7.804316163609878e-14
1692,7.819216746112024e-14
1693,7.834193604158028e-14
1694,7.84924746658091e-14
1695,7.86437920037368e-14
1696,7.879589897348418e-14
1697,7.894880779432512e-14
1698,7.910253085696107e-14
1699,7.92570767384199e-14
1700,7.941245083916995e-14
1701,7.956866014611429e-14
1702,7.972571294145256e-14
1703,7.988361707416823e-14
1704,8.004237997131692e-14
1705,8.020200891861264e-14
