,Energy [eV]
1438,1438.2294
1439,1439.2295
1440,1440.2296
1441,1441.2297
1442,1442.2298
1443,1443.2299
1444,1444.23
1445,1445.2301
1446,1446.2302
1447,1447.2302
1448,1448.2303
1449,1449.2304
1450,1450.2305
1451,1451.2306
1452,1452.2307
1453,1453.2308
1454,1454.2309
1455,1455.231
1456,1456.2311
1457,1457.2311
1458,1458.2312
1459,1459.2313
1460,1460.2314
1461,1461.2315
1462,1462.2316
1463,1463.2317
1464,1464.2318
1465,1465.2319
1466,1466.232
1467,1467.232
1468,1468.2321
1469,1469.2322
1470,1470.2323
1471,1471.2324
1472,1472.2325
1473,1473.2326
1474,1474.2327
1475,1475.2328
1476,1476.2329
1477,1477.2329
1478,1478.233
1479,1479.2331
1480,1480.2332
1481,1481.2333
1482,1482.2334
1483,1483.2335
1484,1484.2336
1485,1485.2337
1486,1486.2338
1487,1487.2338
1488,1488.2339
1489,1489.234
1490,1490.2341
1491,1491.2342
1492,1492.2343
1493,1493.2344
1494,1494.2345
1495,1495.2346
1496,1496.2347
1497,1497.2347
1498,1498.2348
1499,1499.2349
1500,1500.235
1501,1501.2351
1502,1502.2352
1503,1503.2353
1504,1504.2354
1505,1505.2355
1506,1506.2356
1507,1507.2356
1508,1508.2357
1509,1509.2358
1510,1510.2359
1511,1511.236
1512,1512.2361
1513,1513.2362
1514,1514.2363
1515,1515.2364
1516,1516.2365
1517,1517.2365
1518,1518.2366
1519,1519.2367
1520,1520.2368
1521,1521.2369
1522,1522.237
1523,1523.2371
1524,1524.2372
1525,1525.2373
1526,1526.2374
1527,1527.2374
1528,1528.2375
1529,1529.2376
1530,1530.2377
1531,1531.2378
1532,1532.2379
1533,1533.238
1534,1534.2381
1535,1535.2382
1536,1536.2383
1537,1537.2383
1538,1538.2384
1539,1539.2385
1540,1540.2386
1541,1541.2387
1542,1542.2388
1543,1543.2389
1544,1544.239
1545,1545.2391
1546,1546.2392
1547,1547.2392
1548,1548.2393
1549,1549.2394
1550,1550.2395
1551,1551.2396
1552,1552.2397
1553,1553.2398
1554,1554.2399
1555,1555.24
1556,1556.2401
1557,1557.2401
1558,1558.2402
1559,1559.2403
1560,1560.2404
1561,1561.2405
1562,1562.2406
1563,1563.2407
1564,1564.2408
1565,1565.2409
1566,1566.241
1567,1567.241
1568,1568.2411
1569,1569.2412
1570,1570.2413
1571,1571.2414
1572,1572.2415
1573,1573.2416
1574,1574.2417
1575,1575.2418
1576,1576.2419
1577,1577.2419
1578,1578.242
1579,1579.2421
1580,1580.2422
1581,1581.2423
1582,1582.2424
1583,1583.2425
1584,1584.2426
1585,1585.2427
1586,1586.2428
1587,1587.2428
1588,1588.2429
1589,1589.243
1590,1590.2431
1591,1591.2432
1592,1592.2433
1593,1593.2434
1594,1594.2435
1595,1595.2436
1596,1596.2437
1597,1597.2437
1598,1598.2438
1599,1599.2439
1600,1600.244
1601,1601.2441
1602,1602.2442
1603,1603.2443
1604,1604.2444
1605,1605.2445
1606,1606.2446
1607,1607.2446
1608,1608.2447
1609,1609.2448
1610,1610.2449
1611,1611.245
1612,1612.2451
1613,1613.2452
1614,1614.2453
1615,1615.2454
1616,1616.2455
1617,1617.2455
1618,1618.2456
1619,1619.2457
1620,1620.2458
1621,1621.2459
1622,1622.246
1623,1623.2461
1624,1624.2462
1625,1625.2463
1626,1626.2464
1627,1627.2464
1628,1628.2465
1629,1629.2466
1630,1630.2467
1631,1631.2468
1632,1632.2469
1633,1633.247
1634,1634.2471
1635,1635.2472
1636,1636.2473
1637,1637.2473
1638,1638.2474
1639,1639.2475
1640,1640.2476
1641,1641.2477
1642,1642.2478
1643,1643.2479
1644,1644.248
1645,1645.2481
1646,1646.2482
1647,1647.2482
1648,1648.2483
1649,1649.2484
1650,1650.2485
1651,1651.2486
1652,1652.2487
1653,1653.2488
1654,1654.2489
1655,1655.249
1656,1656.2491
1657,1657.2491
1658,1658.2492
1659,1659.2493
1660,1660.2494
1661,1661.2495
1662,1662.2496
1663,1663.2497
1664,1664.2498
1665,1665.2499
1666,1666.25
1667,1667.25
1668,1668.2501
1669,1669.2502
1670,1670.2503
1671,1671.2504
1672,1672.2505
1673,1673.2506
1674,1674.2507
1675,1675.2508
1676,1676.2509
1677,1677.2509
1678,1678.251
1679,1679.2511
1680,1680.2512
1681,1681.2513
1682,1682.2514
1683,1683.2515
1684,1684.2516
1685,1685.2517
1686,1686.2518
1687,1687.2518
1688,1688.2519
1689,1689.252
1690,1690.2521
